Date,BTC,DXY,Gold,SP500,Yield_10Y,VIX
2023-10-12,26756.798828125,106.56999969482422,1869.300048828125,4349.60986328125,4.711999893188477,16.690000534057617
2023-10-13,26862.375,106.6500015258789,1927.4000244140625,4327.77978515625,4.629000186920166,19.31999969482422
2023-10-14,26861.70703125,,,,,
2023-10-15,27159.65234375,,,,,
2023-10-16,28519.466796875,106.23999786376953,1921.0999755859375,4373.6298828125,4.711999893188477,17.209999084472656
2023-10-17,28415.748046875,106.25,1922.699951171875,4373.2001953125,4.8470001220703125,17.8799991607666
2023-10-18,28328.341796875,106.56999969482422,1955.300048828125,4314.60009765625,4.9039998054504395,19.219999313354492
2023-10-19,28719.806640625,106.25,1968.4000244140625,4278.0,4.98799991607666,21.399999618530273
2023-10-20,29682.94921875,106.16000366210938,1982.5,4224.16015625,4.923999786376953,21.709999084472656
2023-10-21,29918.412109375,,,,,
2023-10-22,29993.896484375,,,,,
2023-10-23,33086.234375,105.54000091552734,1976.300048828125,4217.0400390625,4.8379998207092285,20.3700008392334
2023-10-24,33901.52734375,106.2699966430664,1975.0,4247.68017578125,4.840000152587891,18.969999313354492
2023-10-25,34502.8203125,106.52999877929688,1984.0999755859375,4186.77001953125,4.953000068664551,20.190000534057617
2023-10-26,34156.6484375,106.5999984741211,1987.199951171875,4137.22998046875,4.84499979019165,20.68000030517578
2023-10-27,33909.80078125,106.55999755859375,1988.5999755859375,4117.3701171875,4.84499979019165,21.270000457763672
2023-10-28,34089.57421875,,,,,
2023-10-29,34538.48046875,,,,,
2023-10-30,34502.36328125,106.12000274658203,1996.199951171875,4166.81982421875,4.875,19.75
2023-10-31,34667.78125,106.66000366210938,1985.199951171875,4193.7998046875,4.875,18.139999389648438
2023-11-01,35437.25390625,106.87999725341797,1978.800048828125,4237.85986328125,4.789000034332275,16.8700008392334
2023-11-02,34938.2421875,106.12000274658203,1985.5999755859375,4317.77978515625,4.669000148773193,15.65999984741211
2023-11-03,34732.32421875,105.0199966430664,1991.5,4358.33984375,4.558000087738037,14.90999984741211
2023-11-04,35082.1953125,,,,,
2023-11-05,35049.35546875,,,,,
2023-11-06,35037.37109375,105.22000122070312,1981.5999755859375,4365.97998046875,4.6620001792907715,14.890000343322754
2023-11-07,35443.5625,105.54000091552734,1966.800048828125,4378.3798828125,4.571000099182129,14.8100004196167
2023-11-08,35655.27734375,105.58999633789062,1951.5,4382.77978515625,4.5229997634887695,14.449999809265137
2023-11-09,36693.125,105.91000366210938,1964.199951171875,4347.35009765625,4.630000114440918,15.289999961853027
2023-11-10,37313.96875,105.86000061035156,1932.5999755859375,4415.240234375,4.627999782562256,14.170000076293945
2023-11-11,37138.05078125,,,,,
2023-11-12,37054.51953125,,,,,
2023-11-13,36502.35546875,105.66000366210938,1945.5,4411.5498046875,4.631999969482422,14.760000228881836
2023-11-14,35537.640625,104.11000061035156,1961.800048828125,4495.7001953125,4.440999984741211,14.15999984741211
2023-11-15,37880.58203125,104.38999938964844,1960.0999755859375,4502.8798828125,4.534999847412109,14.180000305175781
2023-11-16,36154.76953125,104.37000274658203,1983.9000244140625,4508.240234375,4.445000171661377,14.319999694824219
2023-11-17,36596.68359375,103.81999969482422,1981.5999755859375,4514.02001953125,4.440999984741211,13.800000190734863
2023-11-18,36585.703125,,,,,
2023-11-19,37386.546875,,,,,
2023-11-20,37476.95703125,103.47000122070312,1977.699951171875,4547.3798828125,4.421999931335449,13.40999984741211
2023-11-21,35813.8125,103.58999633789062,1999.300048828125,4538.18994140625,4.418000221252441,13.350000381469727
2023-11-22,37432.33984375,103.91999816894531,1991.4000244140625,4556.6201171875,4.415999889373779,12.850000381469727
2023-11-23,37289.62109375,,,,,
2023-11-24,37720.28125,103.4000015258789,2002.199951171875,4559.33984375,4.4720001220703125,12.460000038146973
2023-11-25,37796.79296875,,,,,
2023-11-26,37479.12109375,,,,,
